id,data_version,data_pack_version,data_pack_version_minor,resource_pack_version,resource_pack_version_minor
22w17a,3093,10,0,9,0
22w18a,3095,10,0,9,0
22w19a,3096,10,0,9,0
1.19-pre1,3098,10,0,9,0
1.19-pre2,3099,10,0,9,0
1.19-pre3,3100,10,0,9,0
1.19-pre4,3101,10,0,9,0
1.19-pre5,3102,10,0,9,0
1.19-rc1,3103,10,0,9,0
1.19-rc2,3104,10,0,9,0
1.19,3105,10,0,9,0
22w24a,3106,10,0,9,0
1.19.1-pre1,3107,10,0,9,0
1.19.1-rc1,3109,10,0,9,0
1.19.1-pre2,3110,10,0,9,0
1.19.1-pre3,3111,10,0,9,0
1.19.1-pre4,3112,10,0,9,0
1.19.1-pre5,3113,10,0,9,0
1.19.1-pre6,3114,10,0,9,0
1.19.1-rc2,3115,10,0,9,0
1.19.1-rc3,3116,10,0,9,0
1.19.1,3117,10,0,9,0
1.19.2-rc1,3118,10,0,9,0
1.19.2-rc2,3119,10,0,9,0
1.19.2,3120,10,0,9,0
22w42a,3205,10,0,11,0
22w43a,3206,10,0,11,0
22w44a,3207,10,0,11,0
22w45a,3208,10,0,12,0
22w46a,3210,10,0,12,0
1.19.3-pre1,3211,10,0,12,0
1.19.3-pre2,3212,10,0,12,0
1.19.3-pre3,3213,10,0,12,0
1.19.3-rc1,3215,10,0,12,0
1.19.3-rc2,3216,10,0,12,0
1.19.3-rc3,3217,10,0,12,0
1.19.3,3218,10,0,12,0
23w03a,3320,11,0,12,0
23w04a,3321,11,0,12,0
23w05a,3323,11,0,12,0
23w06a,3326,12,0,12,0
23w07a,3329,12,0,12,0
1.19.4-pre1,3330,12,0,13,0
1.19.4-pre2,3331,12,0,13,0
1.19.4-pre3,3332,12,0,13,0
1.19.4-pre4,3333,12,0,13,0
1.19.4-rc1,3334,12,0,13,0
1.19.4-rc2,3335,12,0,13,0
1.19.4-rc3,3336,12,0,13,0
1.19.4,3337,12,0,13,0
23w12a,3442,13,0,13,0
23w13a,3443,13,0,13,0
23w14a,3445,13,0,14,0
23w16a,3449,14,0,14,0
23w17a,3452,14,0,15,0
23w18a,3453,15,0,15,0
1.20-pre1,3454,15,0,15,0
1.20-pre2,3455,15,0,15,0
1.20-pre3,3456,15,0,15,0
1.20-pre4,3457,15,0,15,0
1.20-pre5,3458,15,0,15,0
1.20-pre6,3460,15,0,15,0
1.20-pre7,3461,15,0,15,0
1.20-rc1,3462,15,0,15,0
1.20,3463,15,0,15,0
1.20.1-rc1,3464,15,0,15,0
1.20.1,3465,15,0,15,0
23w31a,3567,16,0,16,0
23w32a,3569,17,0,17,0
23w33a,3570,17,0,17,0
23w35a,3571,17,0,17,0
1.20.2-pre1,3572,18,0,17,0
1.20.2-pre2,3573,18,0,18,0
1.20.2-pre3,3574,18,0,18,0
1.20.2-pre4,3575,18,0,18,0
1.20.2-rc1,3576,18,0,18,0
1.20.2-rc2,3577,18,0,18,0
1.20.2,3578,18,0,18,0
23w40a,3679,19,0,18,0
23w41a,3681,20,0,18,0
23w42a,3684,21,0,19,0
23w43a,3686,22,0,20,0
23w43b,3687,22,0,20,0
23w44a,3688,23,0,20,0
23w45a,3690,24,0,21,0
23w46a,3691,25,0,21,0
1.20.3-pre1,3693,26,0,22,0
1.20.3-pre2,3694,26,0,22,0
1.20.3-pre3,3695,26,0,22,0
1.20.3-pre4,3696,26,0,22,0
1.20.3-rc1,3697,26,0,22,0
1.20.3,3698,26,0,22,0
1.20.4-rc1,3699,26,0,22,0
1.20.4,3700,26,0,22,0
23w51a,3801,27,0,22,0
23w51b,3802,27,0,22,0
24w03a,3804,28,0,24,0
24w03b,3805,28,0,24,0
24w04a,3806,29,0,24,0
24w05a,3809,30,0,25,0
24w05b,3811,30,0,25,0
24w06a,3815,31,0,26,0
24w07a,3817,32,0,26,0
24w09a,3819,33,0,28,0
24w10a,3821,34,0,28,0
24w11a,3823,35,0,29,0
24w12a,3824,36,0,30,0
24w13a,3826,37,0,31,0
24w14a,3827,38,0,31,0
1.20.5-pre1,3829,39,0,31,0
1.20.5-pre2,3830,40,0,31,0
1.20.5-pre3,3831,41,0,31,0
1.20.5-pre4,3832,41,0,32,0
1.20.5-rc1,3834,41,0,32,0
1.20.5-rc2,3835,41,0,32,0
1.20.5-rc3,3836,41,0,32,0
1.20.5,3837,41,0,32,0
1.20.6-rc1,3838,41,0,32,0
1.20.6,3839,41,0,32,0
24w18a,3940,42,0,33,0
24w19a,3941,43,0,33,0
24w19b,3942,43,0,33,0
24w20a,3944,44,0,33,0
24w21a,3946,45,0,34,0
24w21b,3947,45,0,34,0
1.21-pre1,3948,46,0,34,0
1.21-pre2,3949,47,0,34,0
1.21-pre3,3950,48,0,34,0
1.21-pre4,3951,48,0,34,0
1.21-rc1,3952,48,0,34,0
1.21,3953,48,0,34,0
1.21.1-rc1,3954,48,0,34,0
1.21.1,3955,48,0,34,0
24w33a,4058,49,0,35,0
24w34a,4060,50,0,36,0
24w35a,4062,51,0,36,0
24w36a,4063,52,0,37,0
24w37a,4065,53,0,38,0
24w38a,4066,54,0,39,0
24w39a,4069,55,0,39,0
24w40a,4072,56,0,40,0
1.21.2-pre1,4073,57,0,41,0
1.21.2-pre2,4074,57,0,41,0
1.21.2-pre3,4075,57,0,42,0
1.21.2-pre4,4076,57,0,42,0
1.21.2-pre5,4077,57,0,42,0
1.21.2-rc1,4078,57,0,42,0
1.21.2-rc2,4079,57,0,42,0
1.21.2,4080,57,0,42,0
1.21.3,4082,57,0,42,0
24w44a,4174,58,0,43,0
24w45a,4177,59,0,44,0
24w46a,4178,60,0,45,0
1.21.4-pre1,4179,60,0,46,0
1.21.4-pre2,4182,61,0,46,0
1.21.4-pre3,4183,61,0,46,0
1.21.4-rc1,4184,61,0,46,0
1.21.4-rc2,4186,61,0,46,0
1.21.4-rc3,4188,61,0,46,0
1.21.4,4189,61,0,46,0
25w02a,4298,62,0,47,0
25w03a,4304,63,0,48,0
25w04a,4308,64,0,49,0
25w05a,4310,65,0,50,0
25w06a,4313,66,0,51,0
25w07a,4315,67,0,52,0
25w08a,4316,68,0,53,0
25w09a,4317,69,0,53,0
25w09b,4318,69,0,53,0
25w10a,4319,70,0,54,0
1.21.5-pre1,4320,70,0,55,0
1.21.5-pre2,4321,71,0,55,0
1.21.5-pre3,4322,71,0,55,0
1.21.5-rc1,4323,71,0,55,0
1.21.5-rc2,4324,71,0,55,0
1.21.5,4325,71,0,55,0
25w15a,4422,72,0,56,0
25w16a,4423,73,0,57,0
25w17a,4425,74,0,58,0
25w18a,4426,75,0,59,0
25w19a,4427,76,0,60,0
25w20a,4428,77,0,61,0
25w21a,4429,78,0,62,0
1.21.6-pre1,4430,79,0,63,0
1.21.6-pre2,4431,79,0,63,0
1.21.6-pre3,4432,80,0,63,0
1.21.6-pre4,4433,80,0,63,0
1.21.6-rc1,4434,80,0,63,0
1.21.6,4435,80,0,63,0
1.21.7-rc1,4436,80,0,63,0
1.21.7-rc2,4437,81,0,64,0
1.21.7,4438,81,0,64,0
1.21.8-rc1,4439,81,0,64,0
1.21.8,4440,81,0,64,0
25w31a,4534,82,0,65,0
25w32a,4536,83,0,65,1
25w33a,4538,83,1,65,2
25w34a,4539,84,0,66,0
25w34b,4540,84,0,66,0
25w35a,4542,85,0,67,0
25w36a,4545,86,0,68,0
25w36b,4546,86,0,68,0
25w37a,4547,87,0,69,0
1.21.9-pre1,4549,87,1,69,0
1.21.9-pre2,4550,88,0,69,0
1.21.9-pre3,4551,88,0,69,0
1.21.9-pre4,4552,88,0,69,0
1.21.9-rc1,4553,88,0,69,0
1.21.9,4554,88,0,69,0
1.21.10-rc1,4555,88,0,69,0
1.21.10,4556,88,0,69,0
25w41a,4653,89,0,70,0
25w42a,4654,90,0,70,1
25w43a,4655,91,0,71,0
25w44a,4659,92,0,72,0
25w45a,4660,93,0,73,0
25w46a,4662,93,1,74,0
1.21.11-pre1,4663,94,0,75,0
1.21.11-pre2,4664,94,0,75,0
1.21.11-pre3,4665,94,0,75,0
1.21.11-pre4,4666,94,1,75,0
1.21.11-pre5,4667,94,1,75,0
1.21.11-rc1,4668,94,1,75,0
1.21.11-rc2,4669,94,1,75,0
1.21.11-rc3,4670,94,1,75,0
1.21.11,4671,94,1,75,0
26.1-snapshot-1,4764,95,0,76,0
26.1-snapshot-2,4765,96,0,77,0
26.1-snapshot-3,4767,97,0,78,0
26.1-snapshot-4,4768,97,1,78,1
26.1-snapshot-5,4770,98,0,79,0
26.1-snapshot-6,4774,99,0,80,0
26.1-snapshot-7,4775,99,1,81,0
26.1-snapshot-8,4776,99,2,81,1
26.1-snapshot-9,4777,99,2,81,1
26.1-snapshot-10,4778,99,3,82,0
26.1-snapshot-11,4779,100,0,83,0
26.1-pre-1,4780,101,0,84,0
26.1-pre-2,4781,101,0,84,0
26.1-pre-3,4782,101,1,84,0
26.1-rc-1,4783,101,1,84,0
26.1-rc-2,4784,101,1,84,0
26.1-rc-3,4785,101,1,84,0
26.1,4786,101,1,84,0
26.1.1-rc-1,4787,101,1,84,0
26.1.1,4788,101,1,84,0
26.1.2-rc-1,4789,101,1,84,0
26.1.2,4790,101,1,84,0
26.2-snapshot-1,4883,101,2,85,0
26.2-snapshot-2,4884,101,2,85,0
26.2-snapshot-3,4886,102,0,86,0
26.2-snapshot-4,4887,103,0,86,1
26.2-snapshot-5,4889,104,0,86,2
26.2-snapshot-6,4890,105,0,86,2
26.2-snapshot-7,4891,105,1,87,0
26.2-snapshot-8,4893,106,0,87,0
26.2-pre-1,4894,106,1,88,0
26.2-pre-2,4895,107,0,88,0
26.2-pre-3,4896,107,0,88,0
26.2-pre-4,4897,107,1,88,0
26.2-pre-5,4898,107,1,88,0
26.2-pre-6,4900,107,1,88,0
26.2-rc-1,4901,107,1,88,0
26.2-rc-2,4902,107,1,88,0
26.2,4903,107,1,88,0
26.3-snapshot-1,4998,108,0,89,0
26.3-snapshot-2,4999,109,0,90,0
26.3-snapshot-3,5001,110,0,91,0
26.3-snapshot-4,5003,111,0,92,0
26.3-snapshot-5,5004,112,0,93,0
26.3-snapshot-6,5005,113,0,94,0
26.3-snapshot-7,5009,115,0,95,0
26.3-snapshot-8,5010,116,0,96,0
26.3-snapshot-9,5011,117,0,96,0
26.3-snapshot-10,5015,118,0,97,0
26.3-pre-1,5017,119,0,97,1
26.3-pre-2,5018,120,0,97,1
